indicator_id,geography,baseline_year,baseline_value,latest_year,latest_value,absolute_change,percentage_change,evidence_strength,caveat
regional_productivity_output_per_hour,North East,2007,86.75,2023,85.4,-1.3499999999999943,-1.556195965417861,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,North West,2007,93.25,2023,94.79,1.5400000000000063,1.6514745308311058,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,Yorkshire and The Humber,2007,90.42,2023,87.88,-2.5400000000000063,-2.8091130280911374,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,East Midlands,2007,84.51,2023,85.26,0.75,0.8874689385871495,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,West Midlands,2007,84.94,2023,85.21,0.269999999999996,0.3178714386625807,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,East of England,2007,97.43,2023,94.72,-2.710000000000008,-2.781484142461262,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,London,2007,138.66,2023,128.52,-10.139999999999986,-7.312851579402846,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,South East,2007,107.55,2023,107.67,0.12000000000000455,0.11157601115760535,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,South West,2007,91.3,2023,92.46,1.1599999999999966,1.2705366922234356,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,Wales,2007,82.39,2023,84.87,2.480000000000004,3.0100740381114264,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,Scotland,2007,92.16,2023,98.89,6.730000000000004,7.302517361111116,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
regional_productivity_output_per_hour,Northern Ireland,2007,81.1,2023,87.64,6.540000000000006,8.064118372379786,Strong candidate,"Output per hour, Index UK=100, ITL1 regions. Latest available 2023 (published June 2025). UK=100 baseline."
